date,dr001,dr007
2025-12-01,1.32,1.46
2025-12-02,1.31,1.45
2025-12-03,1.31,1.45
2025-12-04,1.3197,1.45
2025-12-05,1.31,1.43
2025-12-08,1.31,1.48
2025-12-09,1.31,1.47
2025-12-10,1.31,1.45
2025-12-11,1.29,1.47
2025-12-12,1.29,1.48
2025-12-15,1.29,1.48
2025-12-16,1.29,1.47
2025-12-17,1.29,1.47
2025-12-18,1.29,1.45
2025-12-19,1.29,1.45
2025-12-22,1.28,1.44
2025-12-23,1.28,1.42
2025-12-24,1.27,1.38
2025-12-25,1.27,1.48
2025-12-26,1.26,1.45
2025-12-29,1.25,1.5589
2025-12-30,1.25,1.85
2025-12-31,1.3113,2.0
2026-01-04,1.26,1.42
2026-01-05,1.27,1.41
2026-01-06,1.27,1.4
2026-01-07,1.27,1.45
2026-01-08,1.28,1.47
2026-01-09,1.28,1.47
2026-01-12,1.33,1.48
2026-01-13,1.4,1.53
2026-01-14,1.4,1.55
2026-01-15,1.37,1.49
2026-01-16,1.33,1.42
2026-01-19,1.32,1.48
2026-01-20,1.38,1.49
2026-01-21,1.32,1.49
2026-01-22,1.42,1.5
2026-01-23,1.4,1.49
2026-01-26,1.42,1.56
2026-01-27,1.37,1.58
2026-01-28,1.37,1.59
2026-01-29,1.37,1.58
2026-01-30,1.33,1.6
