date,y_3m,y_6m,y_1y
2025-12-01,1.585,1.6212,1.64
2025-12-02,1.5975,1.6294,1.6494
2025-12-03,1.605,1.6356,1.6525
2025-12-04,1.6242,1.645,1.665
2025-12-05,1.6188,1.64,1.66
2025-12-08,1.62,1.6463,1.66
2025-12-09,1.62,1.6469,1.66
2025-12-10,1.6217,1.645,1.66
2025-12-11,1.6275,1.6454,1.6625
2025-12-12,1.62,1.6456,1.665
2025-12-15,1.62,1.6475,1.6675
2025-12-16,1.625,1.645,1.67
2025-12-17,1.625,1.645,1.66
2025-12-18,1.6088,1.63,1.6485
2025-12-19,1.5954,1.6208,1.6388
2025-12-22,1.5931,1.62,1.6425
2025-12-23,1.595,1.6225,1.6425
2025-12-24,1.5975,1.625,1.6425
2025-12-25,1.5988,1.624,1.6425
2025-12-26,1.595,1.6258,1.6425
2025-12-29,1.6,1.625,1.645
2025-12-30,1.6075,1.6375,1.64
2025-12-31,1.5563,1.61,1.63
2026-01-04,1.525,1.6092,1.625
2026-01-05,1.58,1.6105,1.6225
2026-01-06,1.5988,1.623,1.6335
2026-01-07,1.6042,1.6281,1.6375
2026-01-08,1.5963,1.6245,1.6275
2026-01-09,1.5963,1.6245,1.6375
2026-01-12,1.6017,1.6283,1.64
2026-01-13,1.61,1.635,1.64
2026-01-14,1.61,1.6275,1.64
2026-01-15,1.5994,1.6213,1.6325
2026-01-16,1.5939,1.6175,1.6275
2026-01-19,1.593,1.6156,1.6275
2026-01-20,1.595,1.6108,1.6225
2026-01-21,1.5875,1.6039,1.6075
2026-01-22,1.5825,1.595,1.61
2026-01-23,1.575,1.585,1.595
2026-01-26,1.5763,1.592,1.605
2026-01-27,1.585,1.5975,1.605
2026-01-28,1.5818,1.6025,1.6035
2026-01-29,1.585,1.5975,1.605
2026-01-30,1.58,1.5967,1.6
